嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
真に	まことに	makotoni	truly, actually, really	действительно; на самом деле
	まごつく	magotsuku	to be confused, to be flustered	путать; быть взволнованным
正しく	まさしく	masashiku	surely, no doubt, evidently	безусловно; без сомнения; очевидно;
正に	まさに	masani	correctly, surely	правильно; безусловно;
勝る	まさる	masaru	to excel, to surpass, to outrival	чтобы преуспеть; чтобы превзойти; чтобы превосходить
増し	まし	mashi	extra, additional, less objectionable, better, preferable	прибавка; с каждым (днём,годом)
真下	ました	mashita	right under, directly below	прямо под
況して	まして	mashite	still more, still less (with neg. verb), to say nothing of, not to mention	еще больше; еще меньше (с отрицанием); не говоря уже о
交える	まじえる	majieru	to mix, to converse with, to cross (swords)	смешивать; обмениваться
交わる	まじわる	majiwaru	to cross, to intersect, to associate with, to mingle with, to interest, to join	пересечь; чтобы пересечь; чтобы связать с; чтобы смешаться с; заинтересовать; чтобы присоединиться
麻酔	ますい	masui	anaesthesia	анестезия
益々	ますます	masumasu	increasingly, more and more	все больше и больше
不味い	まずい	mazui	unappetising, unpleasant (taste appearance situation), ugly, unskilful, awkward, bungling, unwise, untime	неаппетитный; неприятный (вкус,ситуация); некрасивый; неуклюжий
股	また	mata	groin, crotch, thigh	пах; бедро
跨がる	またがる	matagaru	to extend over or into, to straddle	сидеть верхом; быть переброшенным (о мосте); лежать по обе стороны; простираться
跨ぐ	またぐ	matagu	to straddle	оседлать
瞬き	またたき	matataki	wink, twinkling (of stars), flicker (of light)	подмигивание; мерцание (света)
待ち合わせ	まちあわせ	machiawase	appointment	назначение
間違う	まちがう	machigau	to make a mistake, to be incorrect, to be mistaken	ошибиться; быть неправильным
待ち遠しい	まちどおしい	machidooshii	looking forward to	с нетерпением жду
待ち望む	まちのぞむ	machinozomu	to look anxiously for, to wait eagerly for	смотреть с тревогой; с нетерпением ждать
区々	まちまち	machimachi	1. several, various, divergent, conflicting, different, diverse, 2. trivial	разнообразные; разноречивые
末期	まっき	makki	closing years (period days), last stage	последние годы (месяцы,дни); завершающая стадия
真っ二つ	まっぷたつ	mapputatsu	in two equal parts	на две равные части
的	まと	mato	mark, target	марка; цель
纏まり	まとまり	matomari	conclusion, settlement, consistency	разрешение; заключение; законченность; связность; единство; согласованность
纏め	まとめ	matome	settlement, conclusion	вывод; заключение
免れる	まぬかれる	manukareru	to escape from, to be rescued from, to avoid, to evade, to avert, to elude, to be exempted, to be relieved	вырваться из; спастись от; избежать; уклониться; предотвратить; ускользнуть; быть освобожденным
招き	まねき	maneki	invitation	приглашение
麻痺	まひ	mahi	paralysis, palsy, numbness, stupor	паралич; онемение; оцепенение
眩しい	まぶしい	mabushii	dazzling, radiant	ослепительный; сияющий
目蓋	まぶた	mabuta	eyelid	веко
間々	まま	mama	occasionally, frequently	иногда; часто
間もなく	まもなく	mamonaku	soon, before long, in a short time	в ближайшее время; до тех пор; в течение короткого времени
眉	まゆ	mayu	eyebrow	бровь
鞠	まり	mari	ball	мяч
丸ごと	まるごと	marugoto	in its entirety, whole, wholly	в полном объеме; в целом; полностью
丸っきり	まるっきり	marukkiri	completely, perfectly, just as if	полностью; совершенно так же; как если
丸で	まるで	marude	quite, entirely, completely, at all, as if, as though, so to speak	вполне; полностью; полностью; вообще; как будто; как будто; так сказать
丸々	まるまる	marumaru	completely	полностью
丸める	まるめる	marumeru	to make round, to round off, to roll up, to curl up, to seduce, to cajole, to explain away	округлить; свернуться калачиком; прельстить; задобрить
満月	まんげつ	mangetsu	full moon	полнолуние
満場	まんじょう	manjou	unanimous, whole audience	весь зал; вся аудитория (публика); все присутствующие
真ん中	まんなか	mannaka	middle, centre, mid-way	средний; центр
真ん前	まんまえ	manmae	right in front, under the nose	прямо перед; под носом
真ん丸い	まんまるい	manmarui	perfectly circular	идеально круглый
三	み	mi	(num) three	3
見合い	みあい	miai	formal marriage interview	смотрины; соответствие; равновесие
見合わせる	みあわせる	miawaseru	to exchange glances, to postpone, to suspend operations, to refrain from performing an action	переглядываться; откладывать; приостанавливать свою деятельность; сочетать браком
見落とす	みおとす	miotosu	to overlook, to fail to notice	не заметить
未開	みかい	mikai	savage land, backward region, uncivilized	нецивилизованный; некультурный; дикий
味覚	みかく	mikaku	taste, palate, sense of taste	вкус; чувство вкуса
見掛ける	みかける	mikakeru	to (happen to) see, to notice, to catch sight of	заметить; чтобы увидеть
三日月	みかずき	mikazuki	new moon, crescent moon	новолуние; полумесяц
見方	みかた	mikata	viewpoint	точка зрения
見苦しい	みぐるしい	migurushii	unsightly, ugly	неприглядный; некрасивый
見込み	みこみ	mikomi	hope, prospects, expectation	надежда; перспективы; ожидания
未婚	みこん	mikon	unmarried	незамужний(ая)
惨め	みじめ	mijime	miserable	несчастный
未熟	みじゅく	mijuku	inexperience, unripeness, raw, unskilled, immature, inexperienced	неопытность; незрелость; сырье; неопытность
微塵	みじん	mijin	particle, atom	частица; атом
見すぼらしい	みすぼらしい	misuborashii	shabby, seedy	потертый; захудалый
見せびらかす	みせびらかす	misebirakasu	to show off, to flaunt	показать; выставлять напоказ
見せ物	みせもの	misemono	show, exhibition	шоу; выставка
満たす	みたす	mitasu	to satisfy, to ingratiate, to fill, to fulfill	наполнять (наливать,накладывать); пополнять; удовлетворять ()
乱す	みだす	midasu	to throw out of order, to disarrange, to disturb	выбросить; приводить в беспорядок; тревожить
乱れる	みだれる	midareru	to get confused, to be disordered, to be disturbed	запутаться; быть неупорядоченным;
未知	みち	michi	not yet known	пока не известный
導く	みちびく	michibiku	to be guided, to be shown	ориентироваться; показывать дорогу
身近	みぢか	mijika	near oneself, close to one, familiar	близкий; знакомый
密集	みっしゅう	misshuu	crowd, close formation, dense	толпа; груда
密接	みっせつ	missetsu	related, connected, close, intimate	связаные между собой; близкий
見っともない	みっともない	mittomonai	shameful, indecent	стыдно; неприлично
蜜	みつ	mitsu	nectar, honey	нектар; мед
密度	みつど	mitsudo	density	плотность
見積り	みつもり	mitsumori	estimation, quotation	оценка; цитата
未定	みてい	mitei	not yet fixed, undecided, pending	пока не определена; не определились; в ожидании
見通し	みとおし	mitooshi	perspective, unobstructed view, outlook, forecast, prospect, insight	перспектива; беспрепятственный обзор; прогноз; прогноз; перспектива; понимание
源	みなもと	minamoto	source, origin	источник; происхождение
身なり	みなり	minari	personal appearance	личная явка
峰	みね	mine	peak, ridge	пик; гребень
見逃す	みのがす	minogasu	to miss, to overlook, to leave at large	пропустить; не заметить; оставить на свободе
見晴らし	みはらし	miharashi	view	вид
身振り	みぶり	miburi	gesture	жест
見舞	みまい	mimai	enquiry, expression of sympathy, expression of concern	посещение (больного и т.п.); наведение справки (о чьём-л. здоровье); выражение сочувствия (озабоченности)
脈	みゃく	myaku	pulse	импульс
未練	みれん	miren	lingering affection, attachment, regret(s), reluctance	сожаление
見渡す	みわたす	miwatasu	to look out over, to survey (scene), to take an extensive view of	смотреть вдаль на; окидывать взглядом
民主	みんしゅ	minshu	democratic, the head of the nation	демократия
民宿	みんしゅく	minshuku	private home providing lodging for travelers	комнаты,сдаваемые отдыхающим
民族/民俗	みんぞく	minzoku	people, race, nation, racial customs, folk customs	расы; нации; народные обычаи
六	む	mu	(num) six	6
無意味	むいみ	muimi	nonsense, no meaning	ерунда; бессмысленность
向き	むき	muki	direction, situation, exposure, aspect, suitability	направление; ситуация; аспект
無口	むくち	mukuchi	reticence	сдержанность
向け	むけ	muke	for ~, oriented towards ~	для ~; ориентированный на ~
婿	むこ	muko	son-in-law	зять
無効	むこう	mukou	invalid, no effect, unavailable	недействительный; неэффективный; недоступный
無言	むごん	mugon	silence	молчание
毟る	むしる	mushiru	to pluck, to pick, to tear	выбрать; сорвать
無邪気	むじゃき	mujaki	innocence, simple-mindedness	невинность; простодушие
結び	むすび	musubi	ending, conclusion, union	узел; вывод
結び付き	むすびつき	musubitsuki	connection, relation	соединение; связь
結び付く	むすびつく	musubitsuku	to be connected or related, to join together	быть связаным; объединиться
結び付ける	むすびつける	musubitsukeru	to combine, to join, to tie on, to attach with a knot	объединить; присоединиться; связать; прикрепить с узлом
無線	むせん	musen	wireless, radio	беспроводной
無駄遣い	むだづかい	mudazukai	waste money on, squander money on, flog a dead horse	тратить деньги на; зря тратить силы
無断	むだん	mudan	without permission, without notice	без разрешения; без уведомления
無知	むち	muchi	ignorance	невежество
無茶	むちゃ	mucha	absurd, unreasonable, excessive, rash, absurdity, nonsense	абсурдно; неразумно; чрезмерно; абсурд
無茶苦茶	むちゃくちゃ	muchakucha	confused, jumbled, mixed up, unreasonable	перемешаный; перепутаный; неразумный
空しい	むなしい	munashii	vacant, futile, vain, void, empty, ineffective, lifeless	вакантный; бесполезный; напрасный; пустой; неэффективный
無念	むねん	munen	chagrin, regret	огорчение; сожаление
無能	むのう	munou	inefficiency, incompetence	неэффективность; некомпетентность
無闇に	むやみに	muyamini	unreasonably, absurdly, recklessly, indiscreetly, at random	необоснованно; нелепо; безрассудно нескромно; наугад
無用	むよう	muyou	useless, futility, needlessness, unnecessariness	бесполезно; тщетно; не нужно
群がる	むらがる	muragaru	to swarm, to gather	толпиться; собираться в толпу
無論	むろん	muron	of course, naturally	конечно; естественно
名産	めいさん	meisan	noted product	знаменитый продукт
名称	めいしょう	meishou	name	название
命中	めいちゅう	meichuu	a hit	попадание (в цель)
名簿	めいぼ	meibo	register of names	список (реестр) имен
名誉	めいよ	meiyo	honor, credit, prestige	честь; почёт; слава
明瞭	めいりょう	meiryou	clarity	ясность
明朗	めいろう	meirou	bright, clear, cheerful	яркость; четкость
目方	めかた	mekata	weight	вес
恵み	めぐみ	megumi	blessing	благословение
恵む	めぐむ	megumu	to bless, to show mercy to	благословлять; проявлять милосердие к
目覚しい	めざましい	mezamashii	brilliant, splendid, striking, remarkable	блестящий; великолепный; яркий; замечательный
目覚める	めざめる	mezameru	to wake up	просыпаться
召す	めす	mesu	to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink, to catch (a	уст. о действиях 2-го и 3-го лица звать,посылать за кем-л.; надевать; покупать; садиться (в экипаж,поезд и т.п.); принимать (ванну)
雌	めす	mesu	female (animal)	самка
滅茶苦茶	めちゃくちゃ	mechakucha	absurd, unreasonable, excessive, messed up, spoiled, wreaked	абсурдно; неразумно; чрезмерное
目付き	めつき	metsuki	look, expression of the eyes, eyes	выражение глаз; взгляд
滅亡	めつぼう	metsubou	downfall, ruin, collapse, destruction	крушение; разруха; развал; разрушение
愛でたい	めでたい	medetai	auspicious	благоприятный
目眩	めまい	memai	dizziness, giddiness	головокружение;
目盛	めもり	memori	scale, gradations	деления на шкале; шкала
面会	めんかい	menkai	interview	интервью
免除	めんじょ	menjo	exemption, exoneration, discharge	освобождение; разряд
面する	めんする	mensuru	to face on, to look out on to	быть обращённым (в какую-л. сторону)
面目	めんぼく	menboku	face, honour, reputation, prestige, dignity, credit	лицо; честь; репутация; престиж; достоинство
設ける	もうける	moukeru	to create, to establish	создать; установить
申し入れる	もうしいれる	moushiireru	to propose, to suggest	предложить
申し込み	もうしこみ	moushikomi	application, entry, request, subscription, offer, proposal, overture, challenge	предложение; заявление; заявка; требование; бронирование
申出	もうしで	moushide	proposal, request, claim, report, notice	заявление; предложение,представление; требование
申し出る	もうしでる	moushideru	to report to, to tell, to suggest, to submit, to request, to make an offer, to come forward with informati	представить; заявить; требовать
申し分	もうしぶん	moushibun	objection, shortcomings	замечание; возражение; жалоба
盲点	もうてん	mouten	blind spot	слепое пятно
猛烈	もうれつ	mouretsu	violent, vehement, rage	жестокость; ярость; ярость
藻掻く	もがく	mogaku	to struggle, to wriggle, to be impatient	бороться; извиваться; корчиться
目録	もくろく	mokuroku	catalogue, catalog, list	каталог; список
目論見	もくろみ	mokuromi	a plan, a scheme, a project, a program, intention, goal	план; схема; проект; программа
模型	もけい	mokei	model, dummy, maquette	модель; манекен; макет
模索	もさく	mosaku	groping (for)	кн. искать ощупью
若し	もし	moshi	if, in case, supposing	если; в случае; предполагая
若しかしたら	もしかしたら	moshikashitara	perhaps, maybe, by some chance	возможно; может быть; если вдруг
若しかして	もしかして	moshikashite	perhaps, possibly	возможно
若しかすると	もしかすると	moshikasuruto	perhaps, maybe, by some chance	возможно; может быть; если вдруг
若しくは	もしくは	moshikuha	or, otherwise	или; в противном случае
若しも	もしも	moshimo	if	если
齎らす	もたらす	motarasu	to bring, to take, to bring about	приносить; уносить; влечь за собой,вызывать,порождать
凭れる	もたれる	motareru	to lean against, to lean on, to recline on, to lie heavy (on the stomach)	прислониться; опереться; откинуться; быть тяжелым (о пище)
持ち	もち	mochi	1. hold, charge, keep possession, in charge, 2. wear, durability, life, draw, 3. usage (suff)	долговечность; сохранность; прочность,носкость; доля (расходов,ответственности)
持ち切り	もちきり	mochikiri	hot topic, talk of the town	единственной темой разговора было...; говорили только о...
物体ない	もったいない	mottainai	too good, more than one deserves, wasteful, sacrilegious, unworthy of	не заслуживающее; недостойное
以て	もって	motte	with, by, by means of, because, in view of	с; по посредством; потому что; ввиду
専ら	もっぱら	moppara	wholly, solely, entirely	исключительно; всецело; главным образом; преимущественно
持て成す	もてなす	motenasu	to entertain, to make welcome	приём; обслуживание; гостеприимство
持てる	もてる	moteru	to be well liked, to be popular	быть популярным; иметь успех
基	もとい	motoi	basis	основа
物置き	ものおき	monooki	storeroom	кладовая
物好き	ものずき	monozuki	curiosity	любопытство
物足りない	ものたりない	monotarinai	unsatisfied, unsatisfactory	неудовлетворённый; недостаточный
最早	もはや	mohaya	already, now	уже сейчас
模範	もはん	mohan	exemplar, exemplification, exemplum, model, example	образец; модель; пример
模倣	もほう	mohou	imitation, copying	имитация; копирование
揉める	もめる	momeru	to disagree, to dispute	не соглашаться; оспаривать
腿	もも	momo	thigh, femur	бедра
催す	もよおす	moyoosu	to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick	проводить,устраивать (собрание,вечер и т.п.); чувствовать позыв к чему-л.
漏らす	もらす	morasu	to let leak, to reveal	дать просочиться; выпустить; проявлять; давать выход (чувствам); пропускать; опускать; упускать; выбалтывать
盛り上がる	もりあがる	moriagaru	to rouse, to swell, to rise	подниматься; расти; вздыматься
漏る	もる	moru	to leak, to run out	протекать; течь
漏れる	もれる	moreru	to leak out, to escape, to come through, to shine through, to filter out, to be omitted	просачиваться; проникать; просвечивать
脆い	もろい	moroi	brittle, fragile, tender-hearted	ломкий; хрупкимй
	もろに	moroni	completely, all the way	полностью; весь путь
問	もん	mon	problem, question	проблема; вопрос
矢	や	ya	arrow	стрелка
哉	や	ya	question mark	вопросительный знак
喧しい	やかましい	yakamashii	noisy, strict, fussy	шумный; строгий; суетливый
野外	やがい	yagai	fields, outskirts, open air, suburbs	поля; окраина; под открытым небом; пригороды
軈て	やがて	yagate	before long, soon, at length	в скором времени; в ближайшее время; в конце концов; затем
夜行	やぎょう	yagyou	walking around at night, night train, night travel	ночной путь (путешествие); ночной поезд
役職	やくしょく	yakushoku	post, managerial position, official position	сообщение; управленческая позиция; официальная позиция
役立つ	やくだつ	yakudatsu	to be useful, to be helpful, to serve the purpose	быть полезным; служить цели
役場	やくば	yakuba	town hall	ратуша
夜具	やぐ	yagu	bedding	постельные принадлежности
優	やさ	yasa	gentle, affectionate	нежный; ласковый
屋敷	やしき	yashiki	mansion	дворец
養う	やしなう	yashinau	to rear, to maintain, to cultivate	поддерживать; развивать
社	やしろ	yashiro	Shinto shrine	синтоистский храм
野心	やしん	yashin	ambition, aspiration, designs, treachery	честолюбие; притязания; амбиции; предательство
易い	やすい	yasui	easy	легко
安っぽい	やすっぽい	yasuppoi	cheap-looking, tawdry, insignificant	дешево выглядящий; безвкусный; незначительный
休める	やすめる	yasumeru	to rest, to suspend, to give relief	отдохнуть; приостановить; чтобы дать облегчение
野生	やせい	yasei	wild	дикий
矢鱈に	やたらに	yatarani	randomly, recklessly, blindly	случайно; по неосторожности; слепо
夜中	やちゅう	yachuu	all night, the whole night	всю ночь; всю ночь
奴	やっこ	yakko	servant, fellow	слуга
やっ付ける	やっつける	yattsukeru	to beat	бить
矢っ張り	やっぱり	yappari	also, as I thought, still, in spite of, absolutely	как я думал; по-прежнему; несмотря на; абсолютно
野党	やとう	yatou	opposition party	оппозиционная партия
病	やまい	yamai	illness, disease	болезнь
闇	やみ	yami	darkness, the dark, black-marketeering, dark, shady, illegal	темнота; подпольная торговля; тьма
病む	やむ	yamu	to fall ill, to be ill	болеть
止むを得ない	やむをえない	yamuoenai	cannot be helped, unavoidable	ничего не поделаешь; неизбежно
稍	やや	yaya	a little, partially, somewhat, a short time, a while	немного; частично; несколько; на короткое время; в то время как
	ややこしい	yayakoshii	puzzling, tangled, complicated, complex	озадачивающий; запутанный; сложный
遣り通す	やりとおす	yaritoosu	to carry through, to achieve, to complete	довести до конца; добиться; завершить
やり遂げる	やりとげる	yaritogeru	to accomplish	выполнять
遣る	やる	yaru	to do, to have sexual intercourse, to kill, to give (to inferiors animals etc.), to dispatch (a letter	давать; дарить; посылать; пускать кого-л.,куда-л.; делать; исполнять; заниматься чем-л.;
和らげる	やわらげる	yawarageru	to soften, to moderate, to relieve	смягчать; облегчать
優位	ゆうい	yuui	predominance, ascendancy, superiority	преобладание; господство; превосходство
憂鬱	ゆううつ	yuuutsu	depression, melancholy, dejection, gloom	депрессия; меланхолия; уныние
有益	ゆうえき	yuueki	beneficial, profitable	выгодно
優越	ゆうえつ	yuuetsu	supremacy, predominance, being superior to	превосходство; преобладание
勇敢	ゆうかん	yuukan	bravery, heroism, gallantry	храбрость; героизм
有機	ゆうき	yuuki	organic	органический
夕暮れ	ゆうぐれ	yuugure	evening, (evening) twilight	вечер; сумерки
融資	ゆうし	yuushi	financing, loan	финансирование; кредит
有する	ゆうする	yuusuru	to own, to be endowed with	владеть; быть наделенным
融通	ゆうずう	yuuzuu	lending (money), accommodation, adaptability, versatility, finance	кредитование; финансирование
優勢	ゆうせい	yuusei	superiority, superior power, predominance, preponderance	превосходство; высшая сила; преобладание; перевес
優先	ゆうせん	yuusen	preference, priority	предпочтение; приоритет
誘導	ゆうどう	yuudou	guidance, leading, induction, introduction, incitement, inducement	руководство; ведущий; внедрение; побуждение
優美	ゆうび	yuubi	grace, refinement, elegance	изысканность; элегантность
有望	ゆうぼう	yuubou	good prospects, full of hope, promising	хорошие перспективы
遊牧	ゆうぼく	yuuboku	nomadism	кочевой образ жизни
夕焼け	ゆうやけ	yuuyake	sunset	закат
有力	ゆうりょく	yuuryoku	1. influence, prominence, 2. potent	влияние; известность; мощность
幽霊	ゆうれい	yuurei	ghost, specter, apparition, phantom	фантом; призрак; привидение
誘惑	ゆうわく	yuuwaku	temptation, allurement, lure	искушение; соблазн
揺さぶる	ゆさぶる	yusaburu	to shake, to jolt, to rock, to swing	трясти; встряхнуть; качаться
茹でる	ゆでる	yuderu	to boil	кипятить
	ゆとり	yutori	reserve, affluence, room, time (to spare)	свободное место
指差す	ゆびさす	yubisasu	to point at	указать на
弓	ゆみ	yumi	bow (and arrow)	лук (и стрелы)
揺らぐ	ゆらぐ	yuragu	to swing, to sway, to shake, to tremble	качаться; трястись; дрожать
緩む	ゆるむ	yurumu	to become loose, to slacken	стать свободным; ослабить
緩める	ゆるめる	yurumeru	to loosen, to slow down	чтобы ослабить; замедлить
緩やか	ゆるやか	yuruyaka	lenient	мягкий
世	よ	yo	world, society, age, generation	мир; общество; поколение
好い	よい	yoi	good	хорошо
要因	よういん	youin	primary factor, main cause	основной фактор; основная причина
溶液	ようえき	youeki	solution (liquid)	раствор (жидкость)
用件	ようけん	youken	business	бизнес
養護	ようご	yougo	protection, nursing, protective care	защита; уход за больными
用紙	ようし	youshi	blank form	чистый бланк
様式	ようしき	youshiki	style, form, pattern	стиль; форма; узор
要する	ようする	yousuru	to demand, to require, to take	требовать; нуждаться в чём-л.; ждать в засаде
要請	ようせい	yousei	claim, demand, request, application	претензии; требования; просьба
養成	ようせい	yousei	training, development	обучение; развитие
様相	ようそう	yousou	aspect	аспект
用品	ようひん	youhin	articles, supplies, parts	предметы чего-л.; принадлежности; инвентарь
洋風	ようふう	youfuu	western style	западный стиль
用法	ようほう	youhou	directions, rules of use	правила использования
要望	ようぼう	youbou	demand for, request	спрос на; запрос
余暇	よか	yoka	leisure, leisure time, spare time	отдых; свободное время
予感	よかん	yokan	presentiment, premonition	предчувствие
余興	よきょう	yokyou	side show, entertainment	развлечения
預金	よきん	yokin	deposit, bank account	депозит; банковский счет
抑圧	よくあつ	yokuatsu	check, restraint, oppression, suppression	притеснение; гнёт
浴室	よくしつ	yokushitsu	bathroom, bath	ванная комната
抑制	よくせい	yokusei	suppression	подавление
欲深い	よくふかい	yokufukai	greedy	жадный
欲望	よくぼう	yokubou	desire, appetite	желание; аппетит
寄こす	よこす	yokosu	to send, to forward	отправлять; пересылать
横綱	よこづな	yokozuna	sumo grand champion	высший титул в борьбе сумо и его обладатель
葦	よし	yoshi	reed, bulrush	тростник; камыш
善し悪し	よしあし	yoshiashi	good or bad, merits or demerits, quality, suitability	хорошо это или плохо; достоинства и недостатки; качество; пригодность
予想	よそう	yosou	expectation, anticipation, prediction, forecast	ожидание; прогноз на встречу
余所見	よそみ	yosomi	looking away, looking aside	глядя в сторону
余地	よち	yochi	place, room, margin, scope	свободное пространство (место)
依って	よって	yotte	therefore, consequently, accordingly, because of	поэтому; как следствие; соответственно; из-за
余程	よっぽど	yoppodo	very, greatly, much, to a large extent, quite	очень; в значительной степени; вполне
与党	よとう	yotou	government party, (ruling) party in power, government	правительственная партия
呼び止める	よびとめる	yobitomeru	to challenge, to call somebody to halt	бросить вызов; чтобы позвонить кому-то; чтобы остановить
夜更かし	よふかし	yofukashi	staying up late, keeping late hours, sitting up late at night, nighthawk	не спать до поздней ночи
夜更け	よふけ	yofuke	late at night	поздно вечером
読み上げる	よみあげる	yomiageru	to read out loud (and clearly), to call a roll	читать вслух; прочитать (до конца)
寄り掛かる	よりかかる	yorikakaru	to lean against, to recline on, to lean on, to rely on	прислониться; откинуться; опереться; полагаться на
宜しく	よろしく	yoroshiku	well, properly, suitably, best regards, please remember me	ну; правильно; соответственно; с наилучшими пожеланиями; очень приятно (пери знакомстве)
弱まる	よわまる	yowamaru	to abate, to weaken, to be emaciated, to be dejected, to be perplexed	стихать; ослабить; быть истощеныым; чтобы быть удрученным; недоумевать
弱める	よわめる	yowameru	to weaken	ослаблять
弱る	よわる	yowaru	to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair	ослабить; быть удрученным; быть истощенным; быть удрученный
来場	らいじょう	raijou	attendance	посещаемость
酪農	らくのう	rakunou	dairy (farm)	молочное хозяйство
落下	らっか	rakka	fall, drop, come down	падение
楽観	らっかん	rakkan	optimism	оптимизм
濫用	らんよう	ranyou	abuse, misuse, misappropriation, using to excess	неправильное обращения и использование; присвоения; используя в избытке
理屈	りくつ	rikutsu	theory, reason	теория; причина
利根	りこん	rikon	intelligence	интеллект
利子	りし	rishi	interest (bank)	проценты (на капитал)
利潤	りじゅん	rijun	profit, returns	(чистая) прибыль
理性	りせい	risei	reason, sense	причина; чувство
利息	りそく	risoku	interest (bank)	проценты (на капитал)
立体	りったい	rittai	solid body	твердое тело
立法	りっぽう	rippou	legislation, lawmaking	законодательство
利点	りてん	riten	advantage, point in favor	преимущество; бал в пользу
略語	りゃくご	ryakugo	abbreviation, acronym	аббревиатура; акроним
略奪	りゃくだつ	ryakudatsu	pillage, plunder, looting, robbery	грабеж; разбой
流	りゅう	ryuu	styleof, method of, manner of	метод; манера
流通	りゅうつう	ryuutsuu	circulation of money or goods, flow of water or air, distribution	оборот денег или товаров; поток воды или воздуха; распределение
了	りょう	ryou	finish, completion, understanding	отделка; завершение; понимание
料	りょう	ryou	material, charge, rate, fee	материал; плата
領域	りょういき	ryouiki	area, domain, territory, field, region, regime	площадь; территория; поле; область; режим
了解	りょうかい	ryoukai	comprehension, consent, understanding, roger (on the radio)	понимание; согласие
領海	りょうかい	ryoukai	territorial waters	территориальные воды
両極	りょうきょく	ryoukyoku	both extremities, north and south poles, positive and negative poles	оба полюса (северный и южный);; . обе крайности
良好	りょうこう	ryoukou	favorable, satisfactory	благоприятный; удовлетворительный
良識	りょうしき	ryoushiki	good sense	здравый смысл
良質	りょうしつ	ryoushitsu	good quality, superior quality	хорошее качество
了承	りょうしょう	ryoushou	acknowledgement, understanding (e.g. please be understanding of the mess during our renovation)	признание; понимание (например,отнеситесь с пониманием...)
良心	りょうしん	ryoushin	conscience	совесть
領地	りょうち	ryouchi	territory, dominion	территория; власть
領土	りょうど	ryoudo	dominion, territory, possession	территория; владение
両立	りょうりつ	ryouritsu	compatibility, coexistence, standing together	совместимость; сосуществование
旅客	りょかく	ryokaku	passenger (transport)	пассажир
旅券	りょけん	ryoken	passport	паспорт
履歴	りれき	rireki	personal history, background, career, log	личная история; биография
理論	りろん	riron	theory	теория
輪	りん	rin	counter for wheels and flowers	счетное слово для колес и цветов
林業	りんぎょう	ringyou	forestry	лесное хозяйство
類似	るいじ	ruiji	analogous	аналогичный
類推	るいすい	ruisui	analogy	аналогия
冷酷	れいこく	reikoku	cruelty, coldheartedness, relentless, ruthless	жестокость; безжалостность
冷蔵	れいぞう	reizou	cold storage, refrigeration	холодильник
冷淡	れいたん	reitan	coolness, indifference	прохлада; равнодушие
恋愛	れんあい	renai	love, love-making, passion, emotion, affections	любовь; страсть
連休	れんきゅう	renkyuu	consecutive holidays	выходные дни
連日	れんじつ	renjitsu	every day, prolonged	изо дня в день
連中	れんじゅう	renjuu	colleagues, company, a lot	группа; компания
連帯	れんたい	rentai	solidarity	солидарность
連邦	れんぽう	renpou	commonwealth, federation of states	содружество; федерация
連盟	れんめい	renmei	league, union, alliance	лига; союз; альянс
老衰	ろうすい	rousui	senility, senile decay	старческая немощь
朗読	ろうどく	roudoku	reading aloud, recitation	чтение вслух
浪費	ろうひ	rouhi	waste, extravagance	напрасная трата
労力	ろうりょく	rouryoku	labour, effort, toil, trouble	труд; усилия
碌な	ろくな	rokuna	satisfactory, decent	удовлетворительный; достойный
碌に	ろくに	rokuni	well, enough, sufficient	хорошо; достаточно
露骨	ろこつ	rokotsu	1. frank, blunt, plain, outspoken, 2. conspicuous, open, 3. broad, suggestive	откровенный; открытый; прямой; бросающийся в глаза; явный; неприличный
論議	ろんぎ	rongi	discussion	обсуждение
論理	ろんり	ronri	logic	логика
和	わ	wa	sum, harmony, peace	сумма; гармония; мир
我がまま	わがまま	wagamama	selfishness, egoism, wilfulness, disobedience, whim	эгоизм; своеволие; каприз
枠	わく	waku	frame, slide	рамка
惑星	わくせい	wakusei	planet	планета
技	わざ	waza	art, technique	искусство; техника
態と	わざと	wazato	on purpose	нарочно
態々	わざわざ	wazawaza	expressly, specially, doing something especially rather than incidentally	прямо; специально
煩わしい	わずらわしい	wazurawashii	troublesome, annoying, complicated	хлопотный; раздражающий
渡り鳥	わたりどり	wataridori	migratory bird, bird of passage	перелетная птица
詫び	わび	wabi	apology	извинение
和風	わふう	wafuu	Japanese style	японский стиль
和文	わぶん	wabun	Japanese text, sentence in Japanese	японский текст
藁	わら	wara	straw	солома
割合に	わりあいに	wariaini	comparatively	сравнительно
割り当て	わりあて	wariate	allotment, assignment, allocation, quota, rationing	назначение; распределение; квота; нормирование
割り込む	わりこむ	warikomu	to cut in, to thrust oneself into, to wedge oneself in, to muscle in on, to interrupt, to disturb	протискиваться; втискиваться; встревать; вмешиваться
割り算	わりざん	warizan	division (math)	деление (математика)
割引き	わりびき	waribiki	discount, reduction, rebate, tenths discounted	скидка; снижение; скидка в 10%
悪者	わるもの	warumono	bad fellow, rascal, ruffian, scoundrel	плохой человек
	アイデア	aidea	idea	идея
	アクセル	akuseru	accelerator	ускоритель
	アップ	apu	up	вверх
