嗚呼	ああ	aa	Ах!; О!; Увы !
封建	ほうけん	houken	феодальный
豊作	ほうさく	housaku	обильный урожай; рекордный урожай
方策	ほうさく	housaku	план; политика
奉仕	ほうし	houshi	служение; предложение по сниженной цене
方式	ほうしき	houshiki	форма; метод; система
放射	ほうしゃ	housha	излучение
放射能	ほうしゃのう	houshanou	радиоактивность
報酬	ほうしゅう	houshuu	вознаграждение 
放出	ほうしゅつ	houshutsu	выделение; излучение
報じる/報ずる	ほうじる/ほうずる	houjiru/ houzuru	информировать; сообщать
放置	ほうち	houchi	оставить как есть; оставить на волю случая; оставить в покое 
法廷	ほうてい	houtei	зал суда
報道	ほうどう	houdou	информация; отчет
褒美	ほうび	houbi	награда; приз
葬る	ほうむる	houmuru	похоронить; предать забвению 
放り込む	ほうりこむ	hourikomu	бросать в
放り出す	ほうりだす	houridasu	выкинуть; стрелять; изгнать; сдаться; отказаться 
飽和	ほうわ	houwa	насыщенность
保温	ほおん	hoon	сохранение тепля; теплоизоляция
捕獲	ほかく	hokaku	захват
保管	ほかん	hokan	опека; хранение 
補給	ほきゅう	hokyuu	питание; поставка; пополнение
補強	ほきょう	hokyou	компенсации; укрепление
保険	ほけん	hoken	страхование; гарантия
捕鯨	ほげい	hogei	китобойный промысел 
誇る	ほこる	hokoru	хвастаться; гордиться
綻びる	ほころびる	hokorobiru	распарываться; рваться; распускаться (о бутонах,почках)
保護	ほご	hogo	уход; защита; жилье; опека; благосклонность; покровительство
乾	ほし	hoshi	высушенный
干し物	ほしもの	hoshimono	вывешенное для просушки бельё
保守	ほしゅ	hoshu	консерватизм; сохранение
保障	ほしょう	hoshou	гарантия; безопасность; гарантии; залог 
補償	ほしょう	hoshou	компенсация; возмещение ущерба
補充	ほじゅう	hojuu	дополнение; комплектование; пополнение
補助	ほじょ	hojo	помощь; поддержка 
舗装	ほそう	hosou	тротуар; дорожное покрытие
補足	ほそく	hosoku	добавка; дополнение
発作	ほっさ	hossa	приступ; припадок; спазм
	ほっと	hotto	чувствовать облегчение
頬っぺた	ほっぺた	hoppeta	щека
辺り	ほとり	hotori	(в) окрестности; вблизи; рядом
殆ど	ほとんど	hotondo	в основном; почти
解く	ほどく	hodoku	отстегивать
施す	ほどこす	hodokosu	выполнять; осуществлять; подавать (милостыню); оказывать (помощь)
保母	ほぼ	hobo	няня,воспитательница (в детском саду и т.п.)
保養	ほよう	hoyou	сохранение здоровья; оздоровление; отдых
捕吏	ほり	hori	полицейский
捕虜	ほりょ	horyo	военнопленный; пленный
滅びる	ほろびる	horobiru	гибнуть; разрушаться
滅ぼす	ほろぼす	horobosu	уничтожить; свергнуть; чтобы крушения; к гибели
本格	ほんかく	honkaku	губить; уничтожать
本館	ほんかん	honkan	главное здание
本気	ほんき	honki	серьезность; правда; святость
本質	ほんしつ	honshitsu	сущность; истинная природа; реальность
本体	ほんたい	hontai	вещество; реальная форма 
本音	ほんね	honne	реальное намерение; мотив
本の	ほんの	honno	просто; только 
本能	ほんのう	honnou	инстинкт
本場	ほんば	honba	центр; место производства; лучшее место (для произрастания,разведения чего-л.)
本文	ほんぶん	honbun	текст (документа); основная часть (письма)
本名	ほんみょう	honmyou	настоящее имя
卯	ぼう	bou	Заяц (4-й знак китайского гороскопа); арх. направление на восток; арх. время с 5 часов до 7 часов утра
防衛	ぼうえい	bouei	защита; самооборона
防火	ぼうか	bouka	пожарная безопасность; пожаротушение
妨害	ぼうがい	bougai	нарушение; препятствие; помеха
紡績	ぼうせき	bouseki	прядение
呆然	ぼうぜん	bouzen	ошарашеный; преодолеть с удивлением; в пустой изумлению
膨脹	ぼうちょう	bouchou	расширение; отек; увеличение; рост
冒頭	ぼうとう	boutou	вступительная часть
暴動	ぼうどう	boudou	восстание; бунт 
暴風	ぼうふう	boufuu	буря; шторм
暴力	ぼうりょく	bouryoku	насилие
募金	ぼきん	bokin	сбор средств 
牧師	ぼくし	bokushi	пастор; священник
母校	ぼこう	bokou	альма-матер
没収	ぼっしゅう	bosshuu	конфискация; секвестр
坊ちゃん	ぼっちゃん	bocchan	сын (2 или 3 лица)
	ぼつぼつ	botsubotsu	постепенно; тут и там; пятна
没落	ぼつらく	botsuraku	разруха; падение; коллапс
	ぼやく	boyaku	ворчать; жаловаться
	ぼやける	boyakeru	стать тусклым; стать размытым
藍褸	ぼろ	boro	тряпка; лом; потрепанные одежды; дефект; захудалый 
枚	まい	mai	счетное слово для плоских объектов (например листов бумаги)
埋蔵	まいぞう	maizou	зарывать; закапывать (в землю)
舞う	まう	mau	танцевать; порхать
真上	まうえ	maue	чуть выше; прямо над головой
前売り	まえうり	maeuri	предварительная продажа; бронирование
前置き	まえおき	maeoki	предисловие; введение
前もって	まえもって	maemotte	заранее; ранее
任す	まかす	makasu	поручить; оставить для человека
負かす	まかす	makasu	победить
賄う	まかなう	makanau	кормить; поставлять (провизию); оплачивать; финансировать
曲がる	まがる	magaru	гнуться; быть изогнутым; 
巻	まき	maki	свиток,рулон; том,книга; завод (часов)
紛らわしい	まぎらわしい	magirawashii	запутанный; вводящий в заблуждение; двусмысленнымй; неоднозначний
紛れる	まぎれる	magireru	смешаться с чем-л.; затеряться в чём-л.; стать неразличимым; быть увлечённым чем-л.
膜	まく	maku	мембрана; пленка
捲る	まくる	makuru	закатывать; засучивать (рукава); подбирать (подол)
真心	まこころ	makokoro	искренность; преданность
誠	まこと	makoto	правда; верность; искренность; доверие; уверенность
真に	まことに	makotoni	действительно; на самом деле 
	まごつく	magotsuku	путать; быть взволнованным
正しく	まさしく	masashiku	безусловно; без сомнения; очевидно; 
正に	まさに	masani	правильно; безусловно; 
勝る	まさる	masaru	чтобы преуспеть; чтобы превзойти; чтобы превосходить
増し	まし	mashi	прибавка; с каждым (днём,годом)
真下	ました	mashita	прямо под 
況して	まして	mashite	еще больше; еще меньше (с отрицанием); не говоря уже о 
交える	まじえる	majieru	смешивать; обмениваться
交わる	まじわる	majiwaru	пересечь; чтобы пересечь; чтобы связать с; чтобы смешаться с; заинтересовать; чтобы присоединиться
麻酔	ますい	masui	анестезия
益々	ますます	masumasu	все больше и больше
不味い	まずい	mazui	неаппетитный; неприятный (вкус,ситуация); некрасивый; неуклюжий
股	また	mata	пах; бедро
跨がる	またがる	matagaru	сидеть верхом; быть переброшенным (о мосте); лежать по обе стороны; простираться
跨ぐ	またぐ	matagu	оседлать
瞬き	またたき	matataki	подмигивание; мерцание (света)
待ち合わせ	まちあわせ	machiawase	назначение
間違う	まちがう	machigau	ошибиться; быть неправильным 
待ち遠しい	まちどおしい	machidooshii	с нетерпением жду
待ち望む	まちのぞむ	machinozomu	смотреть с тревогой; с нетерпением ждать
区々	まちまち	machimachi	разнообразные; разноречивые
	まっき	makki	последние годы (месяцы,дни); завершающая стадия
真っ二つ	まっぷたつ	mapputatsu	на две равные части
的	まと	mato	марка; цель
纏まり	まとまり	matomari	разрешение; заключение; законченность; связность; единство; согласованность
纏め	まとめ	matome	вывод; заключение
免れる	まぬかれる	manukareru	вырваться из; спастись от; избежать; уклониться; предотвратить; ускользнуть; быть освобожденным
招き	まねき	maneki	приглашение
麻痺	まひ	mahi	паралич; онемение; оцепенение
眩しい	まぶしい	mabushii	ослепительный; сияющий
目蓋	まぶた	mabuta	веко
間々	まま	mama	иногда; часто
間もなく	まもなく	mamonaku	в ближайшее время; до тех пор; в течение короткого времени
眉	まゆ	mayu	бровь
鞠	まり	mari	мяч
丸ごと	まるごと	marugoto	в полном объеме; в целом; полностью
丸っきり	まるっきり	marukkiri	полностью; совершенно так же; как если
丸で	まるで	marude	вполне; полностью; полностью; вообще; как будто; как будто; так сказать
丸々	まるまる	marumaru	полностью
丸める	まるめる	marumeru	округлить; свернуться калачиком; прельстить; задобрить 
満月	まんげつ	mangetsu	полнолуние
満場	まんじょう	manjou	весь зал; вся аудитория (публика); все присутствующие
真ん中	まんなか	mannaka	средний; центр
真ん前	まんまえ	manmae	прямо перед; под носом
真ん丸い	まんまるい	manmarui	идеально круглый
三	み	mi	3
見合い	みあい	miai	смотрины; соответствие; равновесие
見合わせる	みあわせる	miawaseru	переглядываться; откладывать; приостанавливать свою деятельность; сочетать браком
見落とす	みおとす	miotosu	не заметить
未開	みかい	mikai	нецивилизованный; некультурный; дикий
味覚	みかく	mikaku	вкус; чувство вкуса
見掛ける	みかける	mikakeru	заметить; чтобы увидеть
三日月	みかずき	mikazuki	новолуние; полумесяц
見方	みかた	mikata	точка зрения
見苦しい	みぐるしい	migurushii	неприглядный; некрасивый
見込み	みこみ	mikomi	надежда; перспективы; ожидания
未婚	みこん	mikon	незамужний(ая)
惨め	みじめ	mijime	несчастный
未熟	みじゅく	mijuku	неопытность; незрелость; сырье; неопытность
微塵	みじん	mijin	частица; атом
見すぼらしい	みすぼらしい	misuborashii	потертый; захудалый
見せびらかす	みせびらかす	misebirakasu	показать; выставлять напоказ
見せ物	みせもの	misemono	шоу; выставка
満たす	みたす	mitasu	наполнять (наливать,накладывать); пополнять; удовлетворять ()
乱す	みだす	midasu	выбросить; приводить в беспорядок; тревожить
乱れる	みだれる	midareru	запутаться; быть неупорядоченным; 
未知	みち	michi	пока не известный
導く	みちびく	michibiku	ориентироваться; показывать дорогу
身近	みぢか	mijika	 близкий; знакомый
密集	みっしゅう	misshuu	толпа; груда
密接	みっせつ	missetsu	связаные между собой; близкий
見っともない	みっともない	mittomonai	стыдно; неприлично
蜜	みつ	mitsu	нектар; мед
密度	みつど	mitsudo	плотность
見積り	みつもり	mitsumori	оценка; цитата
未定	みてい	mitei	пока не определена; не определились; в ожидании
見通し	みとおし	mitooshi	перспектива; беспрепятственный обзор; прогноз; прогноз; перспектива; понимание
源	みなもと	minamoto	источник; происхождение
身なり	みなり	minari	личная явка
峰	みね	mine	пик; гребень
見逃す	みのがす	minogasu	пропустить; не заметить; оставить на свободе
見晴らし	みはらし	miharashi	вид
身振り	みぶり	miburi	жест
見舞	みまい	mimai	посещение (больного и т.п.); наведение справки (о чьём-л. здоровье); выражение сочувствия (озабоченности)
脈	みゃく	myaku	импульс
未練	みれん	miren	сожаление 
見渡す	みわたす	miwatasu	смотреть вдаль на; окидывать взглядом
民主	みんしゅ	minshu	демократия
民宿	みんしゅく	minshuku	комнаты,сдаваемые отдыхающим
民族/民俗	みんぞく	minzoku	расы; нации; народные обычаи
六	む	mu	6
無意味	むいみ	muimi	ерунда; бессмысленность
向き	むき	muki	направление; ситуация; аспект 
無口	むくち	mukuchi	сдержанность
向け	むけ	muke	для ~; ориентированный на ~
婿	むこ	muko	зять
無効	むこう	mukou	недействительный; неэффективный; недоступный
無言	むごん	mugon	молчание
毟る	むしる	mushiru	выбрать; сорвать
無邪気	むじゃき	mujaki	невинность; простодушие
結び	むすび	musubi	узел; вывод 
結び付き	むすびつき	musubitsuki	соединение; связь
結び付く	むすびつく	musubitsuku	быть связаным; объединиться
結び付ける	むすびつける	musubitsukeru	объединить; присоединиться; связать; прикрепить с узлом
無線	むせん	musen	беспроводной 
無駄遣い	むだづかい	mudazukai	тратить деньги на; зря тратить силы
無断	むだん	mudan	без разрешения; без уведомления
無知	むち	muchi	невежество
無茶	むちゃ	mucha	абсурдно; неразумно; чрезмерно; абсурд
無茶苦茶	むちゃくちゃ	muchakucha	перемешаный; перепутаный; неразумный
空しい	むなしい	munashii	вакантный; бесполезный; напрасный; пустой; неэффективный
無念	むねん	munen	огорчение; сожаление
無能	むのう	munou	неэффективность; некомпетентность
無闇に	むやみに	muyamini	необоснованно; нелепо; безрассудно нескромно; наугад
無用	むよう	muyou	бесполезно; тщетно; не нужно 
群がる	むらがる	muragaru	толпиться; собираться в толпу
無論	むろん	muron	конечно; естественно
名産	めいさん	meisan	знаменитый продукт
名称	めいしょう	meishou	название
命中	めいちゅう	meichuu	попадание (в цель)
名簿	めいぼ	meibo	список (реестр) имен
名誉	めいよ	meiyo	честь; почёт; слава
明瞭	めいりょう	meiryou	ясность
明朗	めいろう	meirou	яркость; четкость 
目方	めかた	mekata	вес
恵み	めぐみ	megumi	благословение
恵む	めぐむ	megumu	благословлять; проявлять милосердие к
目覚しい	めざましい	mezamashii	блестящий; великолепный; яркий; замечательный
目覚める	めざめる	mezameru	просыпаться
召す	めす	mesu	уст. о действиях 2-го и 3-го лица звать,посылать за кем-л.; надевать; покупать; садиться (в экипаж,поезд и т.п.); принимать (ванну)
雌	めす	mesu	самка
滅茶苦茶	めちゃくちゃ	mechakucha	абсурдно; неразумно; чрезмерное 
目付き	めつき	metsuki	выражение глаз; взгляд
滅亡	めつぼう	metsubou	крушение; разруха; развал; разрушение
愛でたい	めでたい	medetai	благоприятный
目眩	めまい	memai	головокружение; 
目盛	めもり	memori	деления на шкале; шкала
面会	めんかい	menkai	интервью
免除	めんじょ	menjo	освобождение; разряд
面する	めんする	mensuru	быть обращённым (в какую-л. сторону)
面目	めんぼく	menboku	лицо; честь; репутация; престиж; достоинство
設ける	もうける	moukeru	создать; установить
申し入れる	もうしいれる	moushiireru	предложить 
申し込み	もうしこみ	moushikomi	предложение; заявление; заявка; требование; бронирование
申出	もうしで	moushide	заявление; предложение,представление; требование
申し出る	もうしでる	moushideru	представить; заявить; требовать
申し分	もうしぶん	moushibun	замечание; возражение; жалоба
盲点	もうてん	mouten	слепое пятно
猛烈	もうれつ	mouretsu	жестокость; ярость; ярость
藻掻く	もがく	mogaku	бороться; извиваться; корчиться
目録	もくろく	mokuroku	каталог; список
目論見	もくろみ	mokuromi	план; схема; проект; программа
模型	もけい	mokei	модель; манекен; макет
模索	もさく	mosaku	кн. искать ощупью
若し	もし	moshi	если; в случае; предполагая
若しかしたら	もしかしたら	moshikashitara	возможно; может быть; если вдруг
若しかして	もしかして	moshikashite	возможно
若しかすると	もしかすると	moshikasuruto	возможно; может быть; если вдруг
若しくは	もしくは	moshikuha	или; в противном случае
若しも	もしも	moshimo	если
齎らす	もたらす	motarasu	приносить; уносить; влечь за собой,вызывать,порождать
凭れる	もたれる	motareru	прислониться; опереться; откинуться; быть тяжелым (о пище)
持ち	もち	mochi	долговечность; сохранность; прочность,носкость; доля (расходов,ответственности)
持ち切り	もちきり	mochikiri	единственной темой разговора было...; говорили только о...
物体ない	もったいない	mottainai	не заслуживающее; недостойное
以て	もって	motte	с; по посредством; потому что; ввиду
専ら	もっぱら	moppara	исключительно; всецело; главным образом; преимущественно
持て成す	もてなす	motenasu	приём; обслуживание; гостеприимство
持てる	もてる	moteru	быть популярным; иметь успех
基	もとい	motoi	основа
物置き	ものおき	monooki	кладовая
物好き	ものずき	monozuki	любопытство
物足りない	ものたりない	monotarinai	неудовлетворённый; недостаточный
最早	もはや	mohaya	уже сейчас
模範	もはん	mohan	образец; модель; пример
模倣	もほう	mohou	имитация; копирование
揉める	もめる	momeru	не соглашаться; оспаривать
腿	もも	momo	бедра
催す	もよおす	moyoosu	проводить,устраивать (собрание,вечер и т.п.); чувствовать позыв к чему-л.
漏らす	もらす	morasu	дать просочиться; выпустить; проявлять; давать выход (чувствам); пропускать; опускать; упускать; выбалтывать
盛り上がる	もりあがる	moriagaru	подниматься; расти; вздыматься
漏る	もる	moru	протекать; течь
漏れる	もれる	moreru	просачиваться; проникать; просвечивать 
脆い	もろい	moroi	ломкий; хрупкимй 
	もろに	moroni	полностью; весь путь
問	もん	mon	проблема; вопрос
矢	や	ya	стрелка
哉	や	ya	вопросительный знак
喧しい	やかましい	yakamashii	шумный; строгий; суетливый
野外	やがい	yagai	поля; окраина; под открытым небом; пригороды
軈て	やがて	yagate	в скором времени; в ближайшее время; в конце концов; затем
夜行	やぎょう	yagyou	ночной путь (путешествие); ночной поезд
役職	やくしょく	yakushoku	сообщение; управленческая позиция; официальная позиция
役立つ	やくだつ	yakudatsu	быть полезным; служить цели
役場	やくば	yakuba	ратуша
夜具	やぐ	yagu	постельные принадлежности
優	やさ	yasa	нежный; ласковый
屋敷	やしき	yashiki	дворец
養う	やしなう	yashinau	поддерживать; развивать
社	やしろ	yashiro	синтоистский храм
野心	やしん	yashin	честолюбие; притязания; амбиции; предательство
易い	やすい	yasui	легко
安っぽい	やすっぽい	yasuppoi	дешево выглядящий; безвкусный; незначительный
休める	やすめる	yasumeru	отдохнуть; приостановить; чтобы дать облегчение
野生	やせい	yasei	дикий
矢鱈に	やたらに	yatarani	случайно; по неосторожности; слепо
夜中	やちゅう	yachuu	всю ночь; всю ночь
奴	やっこ	yakko	слуга
やっ付ける	やっつける	yattsukeru	бить
矢っ張り	やっぱり	yappari	как я думал; по-прежнему; несмотря на; абсолютно
野党	やとう	yatou	оппозиционная партия
病	やまい	yamai	болезнь 
闇	やみ	yami	темнота; подпольная торговля; тьма
病む	やむ	yamu	болеть
止むを得ない	やむをえない	yamuoenai	ничего не поделаешь; неизбежно
稍	やや	yaya	немного; частично; несколько; на короткое время; в то время как
	ややこしい	yayakoshii	озадачивающий; запутанный; сложный 
遣り通す	やりとおす	yaritoosu	довести до конца; добиться; завершить
やり遂げる	やりとげる	yaritogeru	выполнять
遣る	やる	yaru	давать; дарить; посылать; пускать кого-л.,куда-л.; делать; исполнять; заниматься чем-л.; 
和らげる	やわらげる	yawarageru	смягчать; облегчать
優位	ゆうい	yuui	преобладание; господство; превосходство
憂鬱	ゆううつ	yuuutsu	депрессия; меланхолия; уныние 
有益	ゆうえき	yuueki	выгодно 
優越	ゆうえつ	yuuetsu	превосходство; преобладание 
勇敢	ゆうかん	yuukan	храбрость; героизм 
有機	ゆうき	yuuki	органический
夕暮れ	ゆうぐれ	yuugure	вечер; сумерки
融資	ゆうし	yuushi	финансирование; кредит
有する	ゆうする	yuusuru	владеть; быть наделенным
融通	ゆうずう	yuuzuu	кредитование; финансирование
優勢	ゆうせい	yuusei	превосходство; высшая сила; преобладание; перевес
優先	ゆうせん	yuusen	предпочтение; приоритет
誘導	ゆうどう	yuudou	руководство; ведущий; внедрение; побуждение
優美	ゆうび	yuubi	изысканность; элегантность
有望	ゆうぼう	yuubou	хорошие перспективы 
遊牧	ゆうぼく	yuuboku	кочевой образ жизни
夕焼け	ゆうやけ	yuuyake	закат
有力	ゆうりょく	yuuryoku	влияние; известность; мощность
幽霊	ゆうれい	yuurei	фантом; призрак; привидение 
誘惑	ゆうわく	yuuwaku	искушение; соблазн 
揺さぶる	ゆさぶる	yusaburu	трясти; встряхнуть; качаться 
茹でる	ゆでる	yuderu	кипятить
	ゆとり	yutori	свободное место
指差す	ゆびさす	yubisasu	указать на
弓	ゆみ	yumi	лук (и стрелы)
揺らぐ	ゆらぐ	yuragu	качаться; трястись; дрожать
緩む	ゆるむ	yurumu	стать свободным; ослабить
緩める	ゆるめる	yurumeru	чтобы ослабить; замедлить
緩やか	ゆるやか	yuruyaka	мягкий
世	よ	yo	мир; общество; поколение
好い	よい	yoi	хорошо
要因	よういん	youin	основной фактор; основная причина
溶液	ようえき	youeki	раствор (жидкость)
用件	ようけん	youken	бизнес
養護	ようご	yougo	защита; уход за больными 
用紙	ようし	youshi	чистый бланк
様式	ようしき	youshiki	стиль; форма; узор
要する	ようする	yousuru	требовать; нуждаться в чём-л.; ждать в засаде
要請	ようせい	yousei	претензии; требования; просьба
養成	ようせい	yousei	обучение; развитие
様相	ようそう	yousou	аспект
用品	ようひん	youhin	предметы чего-л.; принадлежности; инвентарь
洋風	ようふう	youfuu	западный стиль
用法	ようほう	youhou	правила использования
要望	ようぼう	youbou	спрос на; запрос
余暇	よか	yoka	отдых; свободное время 
予感	よかん	yokan	предчувствие 
余興	よきょう	yokyou	развлечения
預金	よきん	yokin	депозит; банковский счет
抑圧	よくあつ	yokuatsu	притеснение; гнёт
浴室	よくしつ	yokushitsu	ванная комната
抑制	よくせい	yokusei	подавление
欲深い	よくふかい	yokufukai	жадный
欲望	よくぼう	yokubou	желание; аппетит
寄こす	よこす	yokosu	отправлять; пересылать
横綱	よこづな	yokozuna	высший титул в борьбе сумо и его обладатель
葦	よし	yoshi	тростник; камыш
善し悪し	よしあし	yoshiashi	хорошо это или плохо; достоинства и недостатки; качество; пригодность
予想	よそう	yosou	ожидание; прогноз на встречу
余所見	よそみ	yosomi	глядя в сторону 
余地	よち	yochi	свободное пространство (место)
依って	よって	yotte	поэтому; как следствие; соответственно; из-за
余程	よっぽど	yoppodo	очень; в значительной степени; вполне
与党	よとう	yotou	правительственная партия 
呼び止める	よびとめる	yobitomeru	бросить вызов; чтобы позвонить кому-то; чтобы остановить
夜更かし	よふかし	yofukashi	не спать до поздней ночи
夜更け	よふけ	yofuke	поздно вечером
読み上げる	よみあげる	yomiageru	читать вслух; прочитать (до конца)
寄り掛かる	よりかかる	yorikakaru	прислониться; откинуться; опереться; полагаться на
宜しく	よろしく	yoroshiku	ну; правильно; соответственно; с наилучшими пожеланиями; очень приятно (пери знакомстве)
弱まる	よわまる	yowamaru	стихать; ослабить; быть истощеныым; чтобы быть удрученным; недоумевать
弱める	よわめる	yowameru	ослаблять
弱る	よわる	yowaru	ослабить; быть удрученным; быть истощенным; быть удрученный 
来場	らいじょう	raijou	посещаемость
酪農	らくのう	rakunou	молочное хозяйство
落下	らっか	rakka	падение 
楽観	らっかん	rakkan	оптимизм
濫用	らんよう	ranyou	неправильное обращения и использование; присвоения; используя в избытке
理屈	りくつ	rikutsu	теория; причина
利根	りこん	rikon	интеллект
利子	りし	rishi	проценты (на капитал)
利潤	りじゅん	rijun	(чистая) прибыль
理性	りせい	risei	причина; чувство
利息	りそく	risoku	проценты (на капитал)
立体	りったい	rittai	твердое тело
立法	りっぽう	rippou	законодательство 
利点	りてん	riten	преимущество; бал в пользу
略語	りゃくご	ryakugo	аббревиатура; акроним
略奪	りゃくだつ	ryakudatsu	грабеж; разбой
流	りゅう	ryuu	метод; манера
流通	りゅうつう	ryuutsuu	оборот денег или товаров; поток воды или воздуха; распределение
了	りょう	ryou	отделка; завершение; понимание
料	りょう	ryou	материал; плата
領域	りょういき	ryouiki	площадь; территория; поле; область; режим
了解	りょうかい	ryoukai	понимание; согласие 
領海	りょうかい	ryoukai	территориальные воды
両極	りょうきょく	ryoukyoku	оба полюса (северный и южный);; . обе крайности
良好	りょうこう	ryoukou	благоприятный; удовлетворительный
良識	りょうしき	ryoushiki	здравый смысл
良質	りょうしつ	ryoushitsu	хорошее качество 
了承	りょうしょう	ryoushou	признание; понимание (например,отнеситесь с пониманием...)
良心	りょうしん	ryoushin	совесть
領地	りょうち	ryouchi	территория; власть
領土	りょうど	ryoudo	 территория; владение
両立	りょうりつ	ryouritsu	совместимость; сосуществование
旅客	りょかく	ryokaku	пассажир 
旅券	りょけん	ryoken	паспорт
履歴	りれき	rireki	личная история; биография
理論	りろん	riron	теория
輪	りん	rin	счетное слово для колес и цветов
林業	りんぎょう	ringyou	лесное хозяйство
類似	るいじ	ruiji	аналогичный
類推	るいすい	ruisui	аналогия
冷酷	れいこく	reikoku	жестокость; безжалостность
冷蔵	れいぞう	reizou	холодильник
冷淡	れいたん	reitan	прохлада; равнодушие
恋愛	れんあい	renai	любовь; страсть
連休	れんきゅう	renkyuu	выходные дни
連日	れんじつ	renjitsu	изо дня в день
連中	れんじゅう	renjuu	группа; компания 
連帯	れんたい	rentai	солидарность
連邦	れんぽう	renpou	содружество; федерация 
連盟	れんめい	renmei	лига; союз; альянс
老衰	ろうすい	rousui	старческая немощь
朗読	ろうどく	roudoku	чтение вслух
浪費	ろうひ	rouhi	напрасная трата
労力	ろうりょく	rouryoku	труд; усилия 
碌な	ろくな	rokuna	удовлетворительный; достойный
碌に	ろくに	rokuni	хорошо; достаточно 
露骨	ろこつ	rokotsu	откровенный; открытый; прямой; бросающийся в глаза; явный; неприличный
論議	ろんぎ	rongi	обсуждение
論理	ろんり	ronri	логика
和	わ	wa	сумма; гармония; мир
我がまま	わがまま	wagamama	эгоизм; своеволие; каприз
枠	わく	waku	рамка
惑星	わくせい	wakusei	планета
技	わざ	waza	искусство; техника
態と	わざと	wazato	нарочно
態々	わざわざ	wazawaza	прямо; специально 
煩わしい	わずらわしい	wazurawashii	хлопотный; раздражающий
渡り鳥	わたりどり	wataridori	перелетная птица 
詫び	わび	wabi	извинение
和風	わふう	wafuu	японский стиль
和文	わぶん	wabun	японский текст
藁	わら	wara	солома
割合に	わりあいに	wariaini	сравнительно
割り当て	わりあて	wariate	назначение; распределение; квота; нормирование
割り込む	わりこむ	warikomu	протискиваться; втискиваться; встревать; вмешиваться
割り算	わりざん	warizan	деление (математика)
割引き	わりびき	waribiki	скидка; снижение; скидка в 10%
悪者	わるもの	warumono	плохой человек
	アイデア	aidea	идея
	アクセル	akuseru	ускоритель
	アップ	apu	вверх
	アプローチ	apuroochi	подход (в гольфе)
	アマチュア	amachua	любитель
	アラブ	arabu	арабский
	アルカリ	arukari	щелочь
	アルミ	arumi	алюминий (Al); алюминий
	アワー	awaa	час
	アンケート	ankeeto	анкета 
	アンコール	ankooru	бис
	イエス	iesu	Иисус; да
	インターチェンジ	intaachenji	обмен
	インターナショナル	intaanashonaru	международный
	インターフォン	intaafon	внутренняя связь
	インテリ	interi	умник; интеллигенция
	インフォメーション	infomeeshon	информация
	インフレ	infure	инфляция
	ウェートレス	weetoresu	официантка
	エアメール	eameeru	воздушная почта
	エレガント	ereganto	элегантный
	エンジニア	enjinia	инженер
	オーケー	ookee	хорошо
	オートマチック	ootomachikku	автоматический
	オープン	oopun	открытый
	オリエンテーション	orienteeshon	ориентация
	オレンジ	orenji	оранжевый
	オンライン	onrain	онлайн
	カーペット	kaapetto	ковер
	カクテル	kakuteru	коктейль
	カット	katto	вырезать; резка
	カテゴリー	kategorii	категория
	カムバック	kamubakku	возвращение
	カメラマン	kameraman	кинооператор
	カルテ	karute	медецинская карта
	カンニング	kanningu	хитрость; обман
	ガイド	gaido	экскурсовод
	ガイドブック	gaidobukku	путеводитель
	ガレージ	gareeji	гараж 
	キャッチ	kyacchi	улов
	キャリア	kyaria	карьера
	クイズ	kuizu	викторина
	クラブ	kurabu	клуб; краб
	クレーン	kureen	кран
	グラフ	gurafu	график
	グレー	guree	серый; серый
	ゲスト	gesuto	гость
	コーナー	koonaa	угол
	コマーシャル	komaasharu	коммерческий
	コミュニケーション	komyunikeeshon	коммуникация
	コメント	komento	комментарий
	コンタクト	kontakuto	контакт; контактные линзы
	コンテスト	kontesuto	конкурс
	コントラスト	kontorasuto	контрастировать
	コントロール	kontorooru	контроль
	コンパス	konpasu	компас
	サイクル	saikuru	цикл
	サイズ	saizu	размер
	サボる	saboru	саботировать; прогуливать
	サンキュー	sankyuu	спасибо
	サンタクロース	santakuroosu	Санта Клаус
	シート	shiito	лист
	システム	shisutemu	система
	シック	shikku	шик
	シナリオ	shinario	сценарий
	ショー	shoo	шоу
	ショック	shokku	шок
	ジーパン	jiipan	джинсы; полукомбинезон
	ジャズ	jazu	джаз
	ジャンパー	janpaa	куртка; джемпер
	ジャンプ	janpu	прыжок
	ジャンボ	janbo	гигантский
	ジャンル	janru	жанр
	スタジオ	sutajio	студия
	スチーム	suchiimu	пар
	ストライキ	sutoraiki	забастовка
	ストレス	sutoresu	стресс
	ストロー	sutoroo	солома
	ストロボ	sutorobo	стробоскоп; фонарь
	スピード	supiido	скорость
	スプリング	supuringu	весна
	スペース	supeesu	пространство
	スポーツカー	supootsukaa	спортивный автомобиль
	スラックス	surakkusu	широкие брюки
	セール	seeru	продажа
	セクション	sekushon	раздел
	セックス	sekkusu	секс
	セレモニー	seremonii	церемония
	センス	sensu	здравый смысл (для музыки тактичность и т.д.)
	ゼリー	zerii	желе; Джерри
	ソース	soosu	источник
	ソックス	sokkusu	носки
	ソロ	soro	соло
	タイトル	taitoru	название
	タイピスト	taipisuto	машинистка
	タイマー	taimaa	таймер
	タイミング	taimingu	синхронизация
	タイム	taimu	время
	タイムリー	taimurii	своевременно
	タイヤ	taiya	шины
