	あっ	a	Ah!;Oh!	ах
	ノック	nokku	(1) knock;(2) fungo (baseball)	стук; удар (англ. knock)
喉	のど	nodo	throat	горло
伸ばす	のばす	nobasu	to lengthen;to stretch;to reach out;to grow (beard)	удлинять; растягивать; дотягиваться
伸びる	のびる	nobiru	to stretch;to extend;to make progress;to grow (beard; body height)	растягивать; расширять; добиться прогресса; отращивать
述べる	のべる	noberu	to state;to express;to mention	выражать
昇る	のぼる	noboru	to arise;to ascend;to go up	подниматься; восходить
	のんびり	nonbiri	carefree;at leisure	беззаботно; на досуге
場	ば	ba	place;field (physics)	место; поле (физика)
	はあ	haa	interjection “aa”	междометие " аа "
	パーセント	paasento	percent	процент
	はい	hai	wear;put on (sword)	носить
灰	はい	hai	ash	пепел
梅雨	ばいう	baiu	rainy season;rain during the rainy season	сезона дождей
	バイオリン	baiorin	violin	скрипка
	ハイキング	haikingu	hiking	пеший туризм
配達	はいたつ	haitatsu	delivery;distribution	доставка; распределение
	パイプ	paipu	(1) pipe;tube;(2) channels; official or otherwise	трубы; каналы
俳優	はいゆう	haiyuu	actor;actress;player;performer	актер; актриса; исполнитель
	パイロット	pairotto	pilot	пилот
墓	はか	haka	grave;tomb	могила
馬鹿	ばか	baka	fool;idiot;trivial matter;folly	идиот; глупость
博士	はかせ	hakase	doctorate;PhD	профессор
計る	はかる	hakaru	to measure;to weigh;to survey	измерять; взвешивать
履く	はく	haku	to wear;to put on (lower body)	носить; надевать (юбку; брюки)
吐く	はく	haku	(1) to breathe;(2) to tell (lies);(3) to vomit;to disgorge	дышать; рвать; извергать
拍手	はくしゅ	hakushu	clapping hands;applause	аплодисменты
莫大	ばくだい	bakudai	enormous;vast	огромный
爆発	ばくはつ	bakuhatsu	explosion;detonation;eruption	взрыв; извержение
博物館	はくぶつかん	hakubutsukan	museum	музей
激しい	はげしい	hageshii	violent;vehement;intense	жестоким; яростный; интенсивный
	はさみ	hasami	scissors	ножницы
破産	はさん	hasan	(personal) bankruptcy	банкротство
端	はし	hashi	end (e.g. of street);edge;tip;margin;point	конец (например улицы); край; наконечник
始まり	はじまり	hajimari	origin;beginning	происхождения; начало
	パス	pasu	path;pass (in games)	путь
外す	はずす	hazusu	to unfasten;to remove	отстегнуть; удалить
	パスポート	pasupooto	passport	паспорт
旗	はた	hata	flag	флаг
肌	はだ	hada	skin	кожа
裸	はだか	hadaka	naked;nude	голый; обнаженный
畑	はたけ	hatake	field	поле
二十	はたち	hatachi	20 years old;20th year	20 лет; 20-й год
働き	はたらき	hataraki	work;labor	работа; труд
	バッグ	baggu	bag;bug	сумка; ошибка
発見	はっけん	hakken	discovery;detection;finding	открытие; обнаружение; вывод
発行	はっこう	hakkou	issue (publications)	выпуск; издание; публикация
発車	はっしゃ	hassha	departure of a vehicle	отъезд автомобиля
罰する	ばっする	bassuru	to punish;to penalize	наказывать
発達	はったつ	hattatsu	development;growth	развитие; рост
	ばったり	battari	with a clash (thud);with a bang;plump;flop	столкновение (стук); с треском; пухлый
発展	はってん	hatten	development;growth	развитие; рост
発表	はっぴょう	happyou	announcement;publication	объявление; публикация
発明	はつめい	hatsumei	invention	изобретение
話し合う	はなしあう	hanashiau	to discuss;to talk together	обсуждать
離す	はなす	hanasu	to part;divide;separate	расстаться; разрыв; отдельный
放す	はなす	hanasu	to separate;to set free	отделять; установливать отпускать
離れる	はなれる	hanareru	to be separated from;to leave;to go away;to be a long way off	отделяться; быть оставленным
羽	はね	hane	counter for birds;counter for rabbits	счетное слово для птиц и кроликов
幅	はば	haba	width;breadth	ширина; ширина
母親	ははおや	hahaoya	mother	мать
省く	はぶく	habuku	to omit;to eliminate;to curtail;to economize	опустить; устранить; свернуть; экономить
場面	ばめん	bamen	scene;setting (e.g. of novel)	сцена; постановка (например романа)
腹	はら	hara	abdomen;belly;stomach	живот; брюхо
原	はら	hara	field;plain;prairie;tundra;moor;wilderness	поле; равнина;
針	はり	hari	needle;hand (e.g. clock)	игла; стрелка часов
張る	はる	haru	to stick;to paste	растягивать; расправлять
番	ばん	ban	number	число
	バン	ban	bun;van (caravan);VAN (value-added network)	булочка; ван (караван); VAN
範囲	はんい	hani	extent;scope;sphere;range	Степень; сфера; сфера; диапазон
反抗	はんこう	hankou	opposition;resistance	оппозиция; сопротивление
犯罪	はんざい	hanzai	crime	преступление
	ハンサム	hansamu	handsome	красивый (о мужчине)
判断	はんだん	handan	judgement;decision	суждение; решение
犯人	はんにん	hannin	offender;criminal	преступник; уголовное
販売	はんばい	hanbai	sale;selling;marketing	продажа; продажи; маркетинг
灯	ひ	hi	light	свет
	ビール	biiru	beer	пиво
被害	ひがい	higai	damage	повреждение
比較	ひかく	hikaku	comparison	сравнение
轢く	ひく	hiku	to run somebody over (with vehicle);to knock someone down	сбить (транспортным средством)
	ピクニック	pikunikku	picnic	пикник
悲劇	ひげき	higeki	tragedy	трагедия
飛行	ひこう	hikou	aviation	авиация
膝	ひざ	hiza	knee;lap	колено
非常	ひじょう	hijou	emergency;extraordinary;unusual	чрезвычайно
美人	びじん	bijin	beautiful person (woman)	красавица
額	ひたい	hitai	forehead;brow	лоб
	びっくり	bikkuri	be surprised;be amazed;be frightened;astonishment	удивляться; поражать; пугаться
日付	ひづけ	hizuke	date;dating	датировка; дата
必死	ひっし	hisshi	inevitable death;desperation;frantic;inevitable result	неизбежная смерть; отчаяние
	ぴったり	pittari	exactly;neatly;sharp	точно; аккуратно; резкое
引っ張る	ひっぱる	hipparu	(1) to pull;to draw;to stretch;to drag;(2) to pull the ball (baseball)	тянуть; тащить
否定	ひてい	hitei	negation;denial;repudiation	отрицание; отказ
	ビデオ	bideo	video	видео
一言	ひとこと	hitokoto	single word	одно слово
人込み	ひとごみ	hitogomi	crowd of people	толпа людей
等しい	ひとしい	hitoshii	equal	равный
独り	ひとり	hitori	alone;unmarried	одинокий; не состоящий в браке
一人一人	ひとりひとり	hitorihitori	one by one;each;one at a time	один за другим; по одному
批判	ひはん	hihan	criticism;judgement;comment	критика; суждение; комментарий
批評	ひひょう	hihyou	criticism;review;commentary	критика; отзыв; комментарий
秘密	ひみつ	himitsu	secret;secrecy	тайна; секретность
微妙	びみょう	bimyou	delicate;subtle	деликатный; тонкое
紐	ひも	himo	(1) string;cord;(2) pimp	шнур; шнурок
費用	ひよう	hiyou	cost;expense	стоимость; расходы
表	ひょう	hyou	table (e.g. Tab 1);chart;list	таблица; схема; список
秒	びょう	byou	second (60th min)	секунда
評価	ひょうか	hyouka	valuation;estimation;assessment;evaluation	оценка
表現	ひょうげん	hyougen	expression;presentation;representation (math)	выражение
表情	ひょうじょう	hyoujou	facial expression	выражение лица
平等	びょうどう	byoudou	equality (a);impartiality;evenness	равенство; беспристрастность
評判	ひょうばん	hyouban	fame;reputation;popularity;arrant	слава; репутация; популярность
表面	ひょうめん	hyoumen	surface;outside;face;appearance	поверхность; снаружи
広がる	ひろがる	hirogaru	to spread (out);to extend;to stretch;to reach to;to get around	распространяться; расширять; растягивать
瓶	びん	bin	bottle	бутылка
便	びん	bin	way;means	способ; средства
	ピン	pin	pin	штифт
不	ふ(ぶ)	fu(bu)	un;non;negative prefix	отрицательная приставка
無	ぶ	bu	nothing;naught;nil;zero	ничего; ничто; ноль
分	ぶ	bu	dividing;part	разделительная; часть
不安	ふあん	fuan	anxiety;uneasiness;insecurity;suspense	беспокойство; беспокойство; неуверенность; саспенс
風景	ふうけい	fuukei	scenery	декорация
夫婦	ふうふ	fuufu	married couple;husband and wife	супружеская пара; муж и жена
笛	ふえ	fue	flute;pipe	флейта; труба
不可	ふか	fuka	wrong;bad;improper;unjustifiable;inadvisable	неправильно; нецелесообразно
武器	ぶき	buki	weapon;arms;ordinance	оружие
服装	ふくそう	fukusou	garments	одежда
含む	ふくむ	fukumu	to hold in the mouth;to bear in mind	держать во рту; иметь в виду;
袋	ふくろ	fukuro	bag;sack	сумка; мешок
不幸	ふこう	fukou	unhappiness;sorrow;misfortune;disaster;accident;death	несчастье; печаль; бедствие
節	ふし	fushi	tune;tone;knot;knob;point	сустав; нарост; узел
無事	ぶじ	buji	safety;peace;quietness	безопасность; мир
不思議	ふしぎ	fushigi	mystery;curiosity	тайна; странность
不自由	ふじゆう	fujiyuu	discomfort;disability;inconvenience;destitution	дискомфорт; неудобство; несвобода
夫人	ふじん	fujin	wife;Mrs;madam	жена;мадам
婦人	ふじん	fujin	woman;female	женщина (замужняя)
不正	ふせい	fusei	injustice;unfairness	несправедливость
防ぐ	ふせぐ	fusegu	to defend (against);to protect;to prevent	защищать; предотвращать
不足	ふそく	fusoku	insufficiency;shortage;deficiency;lack;dearth	недостаток; нехватка; дефицит; отсутствие
舞台	ぶたい	butai	stage (theatre)	сцена театра
双子	ふたご	futago	twins;a twin	близнецы
再び	ふたたび	futatabi	again;once more;a second time	снова; еще раз
普段	ふだん	fudan	usually;habitually;ordinarily;always	обычно; привычно
縁	ふち	fuchi	a means; e.g. of living	рамка; оправа; обод
打つ	ぶつ	butsu	to hit;to strike	ударять
物価	ぶっか	bukka	prices of commodities;prices (in general)	цены на товары
物質	ぶっしつ	busshitsu	material;substance	материал; вещество
物理	ぶつり	butsuri	physics	физика
筆	ふで	fude	writing brush	кисть
	ふと	futo	suddenly;casually;accidentally;incidentally;unexpectedly;unintentionally	вдруг; случайно;неожиданно; непреднамеренно
船	ふね	fune	ship;boat;watercraft;shipping;vessel;steamship	корабль; судно; пароход
部分	ぶぶん	bubun	portion;section;part	часть
不平	ふへい	fuhei	complaint;discontent;dissatisfaction	жалоба; недовольство
不満	ふまん	fuman	dissatisfaction;displeasure;discontent;complaints;unhappiness	недовольство; неудовольствие; жалобы
	プラス	purasu	plus	плюс
	プラン	puran	plan	план
不利	ふり	furi	disadvantage;handicap;unfavorable;drawback	недостаток; неудобство
振る	ふる	furu	(1) to wave;to shake;to swing;(2) to sprinkle;(3) to cast (actor);to allocate (work)	махать; пожать; качаться
震える	ふるえる	furueru	to shiver;to shake;to quake	дрожать; трястись
	ブレーキ	bureeki	a brake	тормоз
触れる	ふれる	fureru	to touch;to be touched;to touch on a subject;to feel;to violate (law; copyright; etc.);to perceive;t	коснуться; трогать; чувствовать
風呂	ふろ	furo	bath	ванна
	プロ	puro	professional	профессиональный
分	ぶん	bun	dividing;part;segment	деление; часть; сегмент
文	ぶん	bun	sentence	фраза; письменность
雰囲気	ふんいき	funiki	atmosphere (e.g. musical);mood;ambience	атмосфера; настроение; окружение
分析	ぶんせき	bunseki	analysis	анализ
文明	ぶんめい	bunmei	civilization;culture	цивилизация; культура
分野	ぶんや	bunya	field;sphere;realm;division;branch	поле; сфера; деление
塀	へい	hei	wall;fence	стены; забор
平均	へいきん	heikin	equilibrium;balance;average;mean	равновесие; баланс
平和	へいわ	heiwa	peace;harmony	мир; гармония
別に	べつに	betsuni	(not) particularly;nothing	(не) особенно; ничего
減らす	へらす	herasu	to abate;to decrease;to diminish;to shorten	стихать; снижаться; уменьшаться
減る	へる	heru	to decrease (in size or number);to diminish;to abate	уменьшать (размер или количество); уменьшаться; стихать
	ベルト	beruto	Belt for western clothes	пояс (в западной одежде)
変化	へんか	henka	goblin;ghost;apparition;bugbear	изменение; перемена
	ペンキ	penki	(n) paint (nl; pek)	краска
勉強	べんきょう	benkyou	study;diligence;discount;reduction	исследование; изучение
変更	へんこう	henkou	change;modification;alteration	изменение; модификация
	ベンチ	benchi	bench	скамейка
方	ほう	hou	side	сторона
法	ほう	hou	Act (law; the X Act)	закон; правило
棒	ぼう	bou	pole;rod;stick	стержень; палка
冒険	ぼうけん	bouken	risk;venture;adventure	риск; приключение
方向	ほうこう	houkou	direction;course;way	направление; курс; способ
報告	ほうこく	houkoku	report;information	отчет; информация
宝石	ほうせき	houseki	gem;jewel	драгоценность; жемчужина
放送	ほうそう	housou	broadcast;broadcasting	телевещание; трансляция
豊富	ほうふ	houfu	abundance;wealth;plenty;bounty	обилие; богатство
方法	ほうほう	houhou	method;manner;way;means;technique	метод; образ; способ; средство
方々	ほうぼう	houbou	persons;this and that;here and there;everywhere	тут и там; везде
訪問	ほうもん	houmon	call;visit	визит
吠える	ほえる	hoeru	to bark;to bay;to howl;to bellow;to roar;to cry	лаять; выть; реветь; плакать
	ボーイ	booi	boy	мальчик
	ボート	booto	rowing boat	весельная лодка
	ホーム	hoomu	(1) platform;(2) home	платформа; дом
	ボール	booru	ball;bowl	мяч; чаша
他	ほか	hoka	other (esp. places and things)	другие (особенно места и вещи)
外	ほか	hoka	other place;the rest	другое (место)
誇り	ほこり	hokori	pride	гордость
埃	ほこり	hokori	dust	пыль
保証	ほしょう	hoshou	guarantee;security;assurance;pledge;warranty	гарантия; безопасность; обеспечение; залог
保存	ほぞん	hozon	preservation;conservation;storage;maintenance	сохранение; хранение; поддержание
程	ほど	hodo	degree;extent;bounds;limit	степень; протяженность; границы; предел
歩道	ほどう	hodou	footpath;walkway;sidewalk	тропинка; тротуар
仏	ほとけ	hotoke	Buddha;merciful person;Buddhist image;the dead	Будда; усопший
骨	ほね	hone	bone	кость
炎	ほのお	honoo	flame	пламя
頬	ほほ(ほお)	hoho(hoo)	cheek (of face)	щека
	ほぼ	hobo	almost;roughly;approximately	почти; примерно; примерно
微笑む	ほほえむ	hohoemu	to smile	улыбаться
褒める	ほめる	homeru	to praise;to admire;to speak well	хвалить; восхищаться; хорошо говорить
濠	ほり	hori	moat	ров
本当	ほんと(ほんとう)	honto(hontou)	truth;reality	Правда; реальность
本人	ほんにん	honnin	the person himself	сам (лично]; лицо; о котором идёт речь
本物	ほんもの	honmono	genuine article	подлинный товар
	ぼんやり	bonyari	absent-minded;block-head;dim;faint;vague	рассеянно; тускло; смутно
間	ま	ma	space;room;time;pause	пространство; комната; время; пауза
	まあ	maa	(female) you might say	можно сказать (используется женщинами)
	マーケット	maaketto	market	рынок
	マイク	maiku	mike	микрофон
迷子	まいご	maigo	lost (stray) child	потерявшийся ребенок
任せる	まかせる	makaseru	to entrust to another;to leave to	поручить; оставить
幕	まく	maku	curtain;bunting;act (in play)	занавес; акт (в игре)
負け	まけ	make	defeat;loss;losing (a game)	поражение
孫	まご	mago	grandchild	внук
	まさか	masaka	by no means	ни в коем случае
	まさに	masani	correctly;surely	правильно; безусловно
真面目	まじめ	majime	diligent;serious;honest	прилежно; серьезно; честно
増す	ます	masu	to increase;to grow	увеличивать; расти
先ず	まず	mazu	first (of all);to start with;about;almost;hardly (with neg. verb)	во-первых
貧しい	まずしい	mazushii	poor;needy	бедный; нуждающийся
	マスター	masutaa	proprietor;manager;barowner;master (e.g. arts; science)	собственник; менеджер; мастер
	ますます	masumasu	increasingly;more and more	более
又	また	mata	again;and	снова; и
未だ	まだ	mada	yet;still;more;besides	но все же;кроме того
街	まち	machi	(1) town;(2) street;road	город; улица; дорога
間違い	まちがい	machigai	mistake	ошибка
松	まつ	matsu	(1) pine tree;(2) highest (of a three-tier ranking system)	сосна; высокий (в системах трехуровневого рейтинга)
真っ赤	まっか	makka	deep red;flushed (of face)	ярко красный
真っ直ぐ	まっすぐ	massugu	straight (ahead);direct;upright	прямо; вертикально
全く	まったく	mattaku	really;truly;entirely;completely	действительно; по-настоящему;полностью
祭	まつり	matsuri	festival;feast	Фестиваль; праздник
学ぶ	まなぶ	manabu	to study (in depth);to learn;to take lessons in	учиться; брать уроки
真似	まね	mane	mimicry;imitation;behavior;pretense	мимика; имитация; поведение; притворство
招く	まねく	maneku	to invite	приглашать; зазывать
	ママ	mama	Mama	мама
豆	まめ	mame	beans;peas	фасоль; горох
守る	まもる	mamoru	to protect;to obey;to guard;to abide (by the rules)	защищать; охранять
丸	まる	maru	circle;full (month);perfection;purity;suffix for ship names	круг; совершенство;; счетный суффикс для названий судов
円	まる	maru	circle;money	круг; деньги
丸い	まるい	marui	round;circular;spherical	круглый; сферической
	まるで	marude	quite;entirely;completely	довольно; полностью
回す	まわす	mawasu	to turn;to revolve	превращать; вращаться
回り	まわり	mawari	circumference;surroundings;circulation	окружность; окружение; тираж
万一	まんいち	manichi	by some chance;by some possibility;if by any chance;10^E4	по какой-то возможности;; 100 тысяч
満足	まんぞく	manzoku	satisfaction	удовлетворение
身	み	mi	body;main part;oneself;sword	тело; основная часть
実	み	mi	fruit;nut;seed;content;good result	фрукт; плод; семя; хороший результат
見送り	みおくり	miokuri	seeing one off;farewell;escort	провожание; прощание
味方	みかた	mikata	friend;ally;supporter	друг; союзник; сторонник
見事	みごと	migoto	splendid;magnificent;beautiful;admirable	великолепный; красивый
	ミス	misu	miss (mistake; error; failure);Miss	мисс; ошибка
満ちる	みちる	michiru	to be full;to rise (tide);to mature;to expire	быть полным; приливать; созревать; истекать
密	みつ	mitsu	secret	секрет; тайна
認める	みとめる	mitomeru	to recognize;to appreciate;to approve;to admit;to notice	признать; оценить; утвердить; признать; замечать
皆	みんな	minna	all;everyone;everybody	каждый; все
見舞い	みまい	mimai	enquiry;expression of sympathy;expression of concern	посещение (больного); выражение сочувствия
土産	みやげ	miyage	present;souvenir	сувенир
都	みやこ	miyako	capital	капитал
妙	みょう	myou	strange;unusual	странно; необычное
明後日	みょうごにち	myougonichi	day after tomorrow	послезавтра
未来	みらい	mirai	future (life; tense)	будущее (жизнь; время)
魅力	みりょく	miryoku	charm;fascination;glamour	очарование; увлечение
	ミルク	miruku	milk	молоко
無	む	mu	nothing;naught;nil;zero	ничего; ничто
向かい	むかい	mukai	facing;opposite;across the street;other side	перед; напротив; на другой стороне
迎え	むかえ	mukae	meeting;person sent to pick up an arrival	встреча
向く	むく	muku	to face	направляться
向ける	むける	mukeru	to turn towards;to point	повернуть в сторону
無視	むし	mushi	disregard;ignore	пренебрежение; игнорирование
虫歯	むしば	mushiba	cavity;tooth decay;decayed tooth;caries	кариес
寧ろ	むしろ	mushiro	rather;better;instead	лучше; вместо
結ぶ	むすぶ	musubu	to tie;to bind;to link	связывать
無駄	むだ	muda	futility;uselessness	тщетность; бесполезность
夢中	むちゅう	muchuu	daze;(in a) trance;ecstasy;delirium;engrossment	не помня себя; как во сне; потерянно; рассеянно
胸	むね	mune	breast;chest	грудь
無料	むりょう	muryou	free;no charge	бесплатно
芽	め	me	sprout	росток
明確	めいかく	meikaku	clear up;clarify;define	прояснить; уточнить; определить
命じる	めいじる	meijiru	to order;to command;to appoint	приказывать; распоряжаться; назначать на должность
名人	めいじん	meijin	master;expert	мастер; эксперт
命令	めいれい	meirei	order;command;decree;directive;(software) instruction	команда; указ; директива; инструкция
迷惑	めいわく	meiwaku	trouble;bother;annoyance	беспокойство; раздражение
飯	めし	meshi	(sl) meals;food	пища; рис (сваренный)
滅多に	めったに	mettani	rarely (with neg. verb);seldom	редко (с отрицанием); редко
	メモ	memo	memorandum	заметка
面	めん	men	face;mug;surface;facial features;mask;face guard;side or facet;corner;page	лицо; кружка; поверхность; черты лица; маска; сторона или аспект
綿	めん	men	cotton;padding	хлопок; обивка
免許	めんきょ	menkyo	license;permit;licence;certificate	лицензия; разрешение; удостоверение
面倒	めんどう	mendou	trouble;difficulty;care;attention	трудность; беспокойство; хлопоты
	メンバー	menbaa	member	член
申し込む	もうしこむ	moushikomu	to apply for;to make an application	подать заявку
申し訳	もうしわけ	moushiwake	apology;excuse	извинение; оправдание
毛布	もうふ	moufu	blanket	одеяло
燃える	もえる	moeru	to burn	сжечь
目的	もくてき	mokuteki	purpose;goal;aim;objective;intention	цель; намерение
目標	もくひょう	mokuhyou	mark;objective;target	знак; цель
木曜	もくよう	mokuyou	Thursday	четверг
文字	もじ(もんじ)	moji(monji)	letter (of alphabet);character	знак; буква; иероглиф
	もしも	moshimo	if	если
持ち上げる	もちあげる	mochiageru	to raise;to lift up;to flatter	быть поднятым; возникать; случаться; происходить
用いる	もちいる	mochiiru	to use;to make use of	использовать
勿論	もちろん	mochiron	of course;certainly;naturally	конечно; естественно
最も	もっとも	mottomo	most;extremely	наиболее; чрезвычайно
尤も	もっとも	mottomo	quite right;plausible;natural;but then;although	правильный; резонный; впрочем; правда
元	もと	moto	(1) origin;original;(2) former	происхождение; оригинал; бывший
基	もと	moto	basis	основа
素	もと	moto	prime	то; из чего сделано; материал
戻す	もどす	modosu	to restore;to put back;to return	возвращать
基づく	もとづく	motozuku	to be grounded on;to be based on;to be due to;to originate from	быть связаным с; происходить из
求める	もとめる	motomeru	to seek;to request;to demand;to want;to wish for;to search for;to pursue (pleasure);to hunt (a job);	искать; запрашивать; требовать; хотеть; желать; искать; охотиться
者	もの	mono	person	человек
物音	ものおと	monooto	sounds	звуки
物語	ものがたり	monogatari	tale;story;legend	сказка; история; легенда
物事	ものごと	monogoto	things;everything	вещи; все
模様	もよう	moyou	pattern;figure;design	рисунок; фигура; дизайн
貰う	もらう	morau	to receive	получать
文句	もんく	monku	phrase;complaint	фраза; предложение
	やがて	yagate	before long;soon;at length	в скором времени; и вскоре; затем
役	やく	yaku	use;service;role;position	выгода; роль; польза
約	やく	yaku	approximately;about;some	примерно; около
訳	やく	yaku	meaning;reason;circumstances;can be deduced;situation	перевод (с одного языка на другой)
役割	やくわり	yakuwari	part;assigning (allotment of) parts;role;duties	часть; роль; обязанности
家賃	やちん	yachin	rent	аренда
厄介	やっかい	yakkai	trouble;burden;care;bother	беда; бремя; беспокойство
宿	やど	yado	inn;lodging	гостиница; жилье
雇う	やとう	yatou	to employ;to hire	использовать; нанимать
屋根	やね	yane	roof	крыша
	やはり	yahari	also;as I thought;still;in spite of;absolutely;of course	также; как я думал; но все же; несмотря на; абсолютно; конечно
破る	やぶる	yaburu	to tear;to violate;to defeat;to smash;to destroy	рвать; нарушать; победить; чтобы разбить; уничтожить
辞める	やめる	yameru	to retire	уходить в отставку
	やや	yaya	a little;partially;somewhat;a short time;a while	немного; частично; несколько; короткое время;а
唯一	ゆいいつ	yuiitsu	only;sole;unique	только; единственный; уникальный
勇気	ゆうき	yuuki	courage;bravery;valour;nerve;boldness	мужество; храбрость; доблесть; смелость
有効	ゆうこう	yuukou	validity;availability;effectiveness	действие; эффективность
優秀	ゆうしゅう	yuushuu	superiority;excellence	превосходство; совершенство
優勝	ゆうしょう	yuushou	overall victory;championship	победа (спортивная)
友情	ゆうじょう	yuujou	friendship;fellowship	дружба; общение
友人	ゆうじん	yuujin	friend	друг
有能	ゆうのう	yuunou	able;capable;efficient;skill	состояние; способнность; умение
郵便	ゆうびん	yuubin	mail;postal service	почта; почтовый сервис
夕べ	ゆうべ	yuube	evening	вечер
	ユーモア	yuumoa	humor	юмор
有利	ゆうり	yuuri	advantageous;better;profitable;lucrative	выгодно; лучше; прибыльно
床	ゆか	yuka	floor	этаж
愉快	ゆかい	yukai	pleasant;happy	удовольствие
輸出	ゆしゅつ	yushutsu	export	экспорт
譲る	ゆずる	yuzuru	to turn over;to assign;to hand over	отдавать; передавать; уступать
豊か	ゆたか	yutaka	abundant;wealthy;plentiful;rich	изобильный; богатый
	ゆっくり	yukkuri	slowly;at ease	медленно; непринужденно
輸入	ゆにゅう	yunyuu	importation;import;introduction	импорт; импорт; внедрение
許す	ゆるす	yurusu	to permit;to allow;to approve	разрешать; утверждать
夜	よ	yo	evening;night	вечер и ночь
夜明け	よあけ	yoake	dawn;daybreak	рассвет
様	よう	you	way;manner;kind	способ; образо; вид
酔う	よう	you	to get drunk;to become intoxicated	пьянеть
容易	ようい	youi	easy;simple;plain	легко; просто; ясно
陽気	ようき	youki	season;weather;cheerfulness	сезон; погода; жизнерадостность
要求	ようきゅう	youkyuu	request;demand;requisition	запрос; спрос
用心	ようじん	youjin	care;precaution;guarding;caution	осторожность; бдительность
様子	ようす	yousu	aspect;state;appearance	состояние; внешний вид
要するに	ようするに	yousuruni	in a word;after all;the point is ..;in short ..	одним словом; в конце концов; дело в том; ...
要素	ようそ	youso	element	элемент
要点	ようてん	youten	gist;main point	суть; главное
曜日	ようび	youbi	day of the week	день недели
	ヨーロッパ	yooroppa	Europe	Европа
予期	よき	yoki	expectation;assume will happen;forecast	ожидание; предположение; прогноз
横切る	よこぎる	yokogiru	to cross (e.g. arms);to traverse	пересекать (например руки); проходитьти
予算	よさん	yosan	estimate;budget	оценка; бюджет
止す	よす	yosu	to cease;to abolish;to resign;to give up	прекращать; уйти в отставку; сдаваться
予測	よそく	yosoku	prediction;estimation	прогноз; оценка
	ヨット	yotto	yacht	яхта
夜中	よなか	yonaka	midnight;dead of night	полночь; глубокая ночь
世の中	よのなか	yononaka	society;the world;the times	общество; мир; времена
余分	よぶん	yobun	extra;excess;surplus	излишек; избыток
予報	よほう	yohou	forecast;prediction	прогноз; предсказание
予防	よぼう	yobou	prevention;precaution;protection against	профилактика; предосторожность; защита от
読み	よみ	yomi	reading	чтение
嫁	よめ	yome	bride;daughter-in-law	невестка
余裕	よゆう	yoyuu	surplus;composure;margin;room;time;allowance;scope;rope	свобода (действий); возможности; достаточное количество (времени; денег)
	より	yori	twist;ply	чем; более
	よると	yoruto	according to	в соответствии с
喜び	よろこび	yorokobi	(a) joy;(a) delight;rapture;pleasure;gratification;rejoicing;congratulations;felicitations	радость; восторг; удовольствие; удовлетворение
宜しい	よろしい	yoroshii	(hon) good;OK;all right;fine;very well;will do;may;can	(вежливо) хорошо; все в порядке
	よろしく	yoroshku	well;properly;suitably;best regards;please remember me	хорошо; должным образом; соответствующим образом; с наилучшими пожеланиями; очень приятно (при знакомстве)
四	よん	yon	four	четыре
来	らい	rai	;for (10 days);next (year)	грядущий
	ライター	raitaa	lighter;rider;writer	писатель
楽	らく	raku	comfort;ease	комфорт; удовольствие
	ラケット	raketto	paddle;racket	ракета
利益	りえき	rieki	profits;gains;(political; economic) interest	прибыль; доходы; выгода
理解	りかい	rikai	understanding;comprehension	понимание; понимание
陸	りく	riku	six (used in legal documents)	шесть (используется в документах)
利口	りこう	rikou	clever;shrewd;bright;sharp;wise;intelligent	умный; проницательный; яркий; мудрый
離婚	りこん	rikon	divorce	развод
理想	りそう	risou	ideal	идеал
率	りつ	ritsu	rate;ratio;proportion;percentage	ставка; отношение; доля; процент
立派	りっぱ	rippa	splendid;fine;handsome;elegant;imposing;prominent;legal;legitimate	великолепный; штраф; красивый; элегантный
留学	りゅうがく	ryuugaku	studying abroad	обучение за рубежом
流行	りゅうこう	ryuukou	fashionable;fad;in vogue;prevailing	причуда; мода
量	りょう	ryou	quantity;amount;volume;portion (of food)	количество; объем
両替	りょうがえ	ryougae	change;money exchange	обмен валюты
料金	りょうきん	ryoukin	fee;charge;fare	оплата
例	れい	rei	instance;example;case	экземпляр; пример; дело
礼	れい	rei	expression of gratitude	выражение благодарности
礼儀	れいぎ	reigi	manners;courtesy;etiquette	манеры; любезно; этикет
冷静	れいせい	reisei	calm;composure;coolness;serenity	самообладание; спокойствие; безмятежность
列	れつ	retsu	queue;line;row	очередь; линия; ряд
列車	れっしゃ	ressha	train (ordinary)	поезд
	レポート	repooto	report;paper	отчет
練習	れんしゅう	renshuu	practice	практика
連想	れんそう	rensou	association (of ideas);suggestion	ассоциация (идей); предложение
連続	れんぞく	renzoku	serial;consecutive;continuity;continuing	серийный; подряд; непрерывность
労働	ろうどう	roudou	manual labor;toil;work	ручной труд; труд; работа
	ロケット	roketto	locket;rocket	медальон; ракета
論じる	ろんじる	ronjiru	to argue;to discuss;to debate	спорить; обсуждать
論争	ろんそう	ronsou	controversy;dispute	полемика; спор
論文	ろんぶん	ronbun	thesis;essay;treatise;paper	тезис; эссе; трактат
輪	わ	wa	ring;hoop;circle	кольцо; обруч; круг
	ワイン	wain	wine	вино
	わがまま	wagamama	selfishness;egoism;wilfulness;disobedience;whim	эгоизм; своеволие; неповиновение; каприз
別れ	わかれ	wakare	parting;separation;farewell	расставание; разделение; прощание
脇	わき	waki	side	бок; боковая сторона; подмышка
分ける	わける	wakeru	to divide;to separate	разделить; отделить
	わざと	wazato	on purpose	нарочно
